PRODUCT_CATEGORY,PRODUCT_TYPE,PRODUCT_DETAIL,STORE_LOCATION,NUMBER_OR_ROWS,NUMBER_OF_SALES,NUMBER_OF_UNITS_SOLD,REVENUE_PER_TRANSACTION,TOTAL_REVENUE,MONTH_ID,MONTH_NAME,DAY_NAME,TIME_BUCKET,SPEND_TREND
Flavours,Regular syrup,Hazelnut syrup,Lower Manhattan,19,19,32,25.60,25.60,202305,May,Fri,Morning,Low
Bakery,Scone,Oatmeal Scone,Lower Manhattan,5,5,5,15.00,15.00,202305,May,Sun,Afternoon,Low
Packaged Chocolate,Organic Chocolate,Sustainably Grown Organic,Lower Manhattan,1,1,1,7.60,7.60,202305,May,Sat,Afternoon,Low
Coffee beans,Organic Beans,Brazilian - Organic,Lower Manhattan,1,1,1,18.00,18.00,202305,May,Sat,Afternoon,Low
Loose Tea,Chai tea,Traditional Blend Chai,Lower Manhattan,1,1,1,8.95,8.95,202305,May,Thu,Afternoon,Low
Coffee beans,Premium Beans,Civet Cat,Lower Manhattan,2,2,2,90.00,90.00,202305,May,Sat,Afternoon,High
Bakery,Biscotti,Ginger Biscotti,Lower Manhattan,2,2,2,7.00,7.00,202305,May,Sat,Afternoon,Low
Tea,Brewed herbal tea,Peppermint Lg,Lower Manhattan,4,4,7,21.00,21.00,202305,May,Sat,Afternoon,Low
Bakery,Biscotti,Chocolate Chip Biscotti,Lower Manhattan,5,5,5,17.50,17.50,202305,May,Sat,Afternoon,Low
Flavours,Regular syrup,Chocolate syrup,Lower Manhattan,9,9,14,11.20,11.20,202305,May,Sat,Afternoon,Low
Flavours,Regular syrup,Hazelnut syrup,Lower Manhattan,1,1,2,1.60,1.60,202305,May,Sat,Afternoon,Low
Flavours,Regular syrup,Carmel syrup,Lower Manhattan,6,6,9,7.20,7.20,202305,May,Sat,Afternoon,Low
Flavours,Sugar free syrup,Sugar Free Vanilla syrup,Lower Manhattan,4,4,4,3.20,3.20,202305,May,Sat,Afternoon,Low
Coffee beans,Gourmet Beans,Ethiopia,Lower Manhattan,1,1,1,21.00,21.00,202305,May,Sat,Afternoon,Low
Loose Tea,Herbal tea,Peppermint,Lower Manhattan,1,1,1,8.95,8.95,202305,May,Sat,Afternoon,Low
Packaged Chocolate,Drinking Chocolate,Chili Mayan,Lower Manhattan,1,1,1,13.33,13.33,202305,May,Sat,Morning,Low
Coffee beans,Espresso Beans,Espresso Roast,Lower Manhattan,2,2,2,29.50,29.50,202305,May,Sat,Morning,Low
Loose Tea,Green tea,Serenity Green Tea,Lower Manhattan,2,2,2,18.50,18.50,202305,May,Sat,Morning,Low
Coffee,Gourmet brewed coffee,Ethiopia Lg,Lower Manhattan,8,8,11,38.50,38.50,202305,May,Sun,Afternoon,High
Loose Tea,Chai tea,Traditional Blend Chai,Lower Manhattan,1,1,1,8.95,8.95,202305,May,Sun,Afternoon,Low
Coffee,Organic brewed coffee,Brazilian Sm,Lower Manhattan,6,6,10,22.00,22.00,202305,May,Sun,Afternoon,Low
Coffee beans,Organic Beans,Organic Decaf Blend,Lower Manhattan,2,2,2,45.00,45.00,202305,May,Sun,Afternoon,High
Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Lower Manhattan,3,3,4,15.00,15.00,202305,May,Sun,Afternoon,Low
Tea,Brewed Chai tea,Traditional Blend Chai Rg,Lower Manhattan,4,4,6,15.00,15.00,202305,May,Sun,Afternoon,Low
Tea,Brewed Black tea,English Breakfast Lg,Lower Manhattan,8,8,14,42.00,42.00,202305,May,Sun,Afternoon,High
Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Lower Manhattan,6,6,9,33.75,33.75,202305,May,Sun,Afternoon,High
Branded,Clothing,I Need My Bean! T-shirt,Lower Manhattan,2,2,2,56.00,56.00,202305,May,Sun,Morning,High
Tea,Brewed Chai tea,Traditional Blend Chai Lg,Lower Manhattan,2,2,4,12.00,12.00,202305,May,Sat,Evening,Low
Loose Tea,Chai tea,Morning Sunrise Chai,Lower Manhattan,1,1,1,9.50,9.50,202305,May,Sun,Morning,Low
Coffee beans,Gourmet Beans,Columbian Medium Roast,Lower Manhattan,2,2,2,30.00,30.00,202305,May,Sun,Morning,Low
Branded,Housewares,I Need My Bean! Latte cup,Lower Manhattan,2,2,2,28.00,28.00,202305,May,Sun,Morning,Low
Bakery,Pastry,Croissant,Lower Manhattan,12,12,12,42.00,42.00,202305,May,Sun,Morning,High
Tea,Brewed Chai tea,Traditional Blend Chai Rg,Lower Manhattan,17,17,31,77.50,77.50,202305,May,Mon,Morning,High
Tea,Brewed Green tea,Serenity Green Tea Rg,Lower Manhattan,5,5,7,17.50,17.50,202305,May,Mon,Afternoon,Low
Bakery,Scone,Cranberry Scone,Lower Manhattan,7,7,7,22.75,22.75,202305,May,Mon,Afternoon,Low
Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Lower Manhattan,10,10,18,45.00,45.00,202305,May,Mon,Afternoon,High
Coffee,Drip coffee,Our Old Time Diner Blend Rg,Lower Manhattan,19,19,34,85.00,85.00,202305,May,Fri,Morning,High
Tea,Brewed Black tea,English Breakfast Lg,Lower Manhattan,15,15,20,60.00,60.00,202305,May,Mon,Morning,High
Bakery,Pastry,Croissant,Lower Manhattan,13,13,13,45.50,45.50,202305,May,Mon,Morning,High
Coffee,Gourmet brewed coffee,Ethiopia Lg,Lower Manhattan,20,20,31,108.50,108.50,202305,May,Mon,Morning,High
Bakery,Pastry,Almond Croissant,Lower Manhattan,10,10,10,37.50,37.50,202305,May,Mon,Morning,High
Tea,Brewed Black tea,English Breakfast Rg,Lower Manhattan,12,12,24,60.00,60.00,202305,May,Mon,Morning,High
Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Lower Manhattan,20,20,33,102.30,102.30,202305,May,Mon,Morning,High
Bakery,Scone,Jumbo Savory Scone,Lower Manhattan,17,17,17,63.75,63.75,202305,May,Mon,Morning,High
Coffee,Barista Espresso,Cappuccino,Lower Manhattan,11,11,20,75.00,75.00,202305,May,Mon,Morning,High
Tea,Brewed Green tea,Serenity Green Tea Rg,Lower Manhattan,22,22,34,85.00,85.00,202305,May,Mon,Morning,High
Bakery,Scone,Cranberry Scone,Lower Manhattan,11,11,11,35.75,35.75,202305,May,Mon,Morning,High
Coffee,Barista Espresso,Latte,Lower Manhattan,29,29,39,146.25,146.25,202305,May,Mon,Morning,High
Coffee,Organic brewed coffee,Brazilian Lg,Lower Manhattan,11,11,18,63.00,63.00,202305,May,Mon,Afternoon,High
Tea,Brewed Chai tea,Traditional Blend Chai Rg,Lower Manhattan,14,14,23,57.50,57.50,202305,May,Mon,Afternoon,High
Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Lower Manhattan,6,6,7,26.25,26.25,202305,May,Mon,Afternoon,Low
Coffee,Barista Espresso,Ouro Brasileiro shot,Lower Manhattan,8,8,11,29.40,29.40,202305,May,Mon,Afternoon,Low
Tea,Brewed Black tea,Earl Grey Lg,Lower Manhattan,6,6,8,24.00,24.00,202305,May,Mon,Afternoon,Low
Coffee,Gourmet brewed coffee,Ethiopia Lg,Lower Manhattan,12,12,20,70.00,70.00,202305,May,Mon,Afternoon,High
Tea,Brewed herbal tea,Lemon Grass Lg,Lower Manhattan,10,10,18,54.00,54.00,202305,May,Mon,Afternoon,High
Bakery,Pastry,Almond Croissant,Lower Manhattan,11,11,11,41.25,41.25,202305,May,Mon,Afternoon,High
Tea,Brewed Chai tea,Traditional Blend Chai Lg,Lower Manhattan,9,9,12,36.00,36.00,202305,May,Mon,Afternoon,High
Coffee,Barista Espresso,Latte Rg,Lower Manhattan,10,10,20,85.00,85.00,202305,May,Mon,Afternoon,High
Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Lower Manhattan,11,11,14,63.00,63.00,202305,May,Mon,Afternoon,High
Coffee,Barista Espresso,Cappuccino,Lower Manhattan,8,8,14,52.50,52.50,202305,May,Mon,Afternoon,High
Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Lower Manhattan,9,9,11,41.25,41.25,202305,May,Mon,Afternoon,High
Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Lower Manhattan,8,8,11,33.00,33.00,202305,May,Mon,Afternoon,High
Coffee,Drip coffee,Our Old Time Diner Blend Lg,Lower Manhattan,11,11,20,60.00,60.00,202305,May,Mon,Afternoon,High
Bakery,Scone,Ginger Scone,Lower Manhattan,3,3,3,9.75,9.75,202305,May,Fri,Evening,Low
Flavours,Sugar free syrup,Sugar Free Vanilla syrup,Lower Manhattan,14,14,23,18.40,18.40,202305,May,Sat,Morning,Low
Loose Tea,Chai tea,Traditional Blend Chai,Lower Manhattan,1,1,1,8.95,8.95,202305,May,Sat,Morning,Low
Flavours,Regular syrup,Hazelnut syrup,Lower Manhattan,12,12,20,16.00,16.00,202305,May,Sat,Morning,Low
Flavours,Regular syrup,Chocolate syrup,Lower Manhattan,20,20,35,28.00,28.00,202305,May,Sat,Morning,Low
Flavours,Regular syrup,Carmel syrup,Lower Manhattan,22,22,36,28.80,28.80,202305,May,Sat,Morning,Low
Tea,Brewed herbal tea,Peppermint Rg,Lower Manhattan,2,2,3,7.50,7.50,202305,May,Fri,Evening,Low
Coffee,Organic brewed coffee,Brazilian Sm,Lower Manhattan,2,2,3,6.60,6.60,202305,May,Fri,Evening,Low
Flavours,Regular syrup,Chocolate syrup,Lower Manhattan,4,4,6,4.80,4.80,202305,May,Fri,Evening,Low
Coffee,Barista Espresso,Latte Rg,Lower Manhattan,5,5,7,29.75,29.75,202305,May,Fri,Evening,Low
Flavours,Regular syrup,Carmel syrup,Lower Manhattan,4,4,7,5.60,5.60,202305,May,Fri,Evening,Low
Flavours,Regular syrup,Hazelnut syrup,Lower Manhattan,4,4,7,5.60,5.60,202305,May,Fri,Afternoon,Low
Bakery,Pastry,Croissant,Lower Manhattan,1,1,1,3.50,3.50,202305,May,Fri,Evening,Low
Coffee beans,Gourmet Beans,Ethiopia,Lower Manhattan,1,1,1,21.00,21.00,202305,May,Fri,Evening,Low
Flavours,Sugar free syrup,Sugar Free Vanilla syrup,Lower Manhattan,5,5,9,7.20,7.20,202305,May,Fri,Evening,Low
Coffee beans,House blend Beans,Our Old Time Diner Blend,Lower Manhattan,1,1,1,18.00,18.00,202305,May,Sat,Evening,Low
Tea,Brewed herbal tea,Lemon Grass Lg,Lower Manhattan,4,4,5,15.00,15.00,202305,May,Fri,Evening,Low
Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Lower Manhattan,2,2,3,7.50,7.50,202305,May,Fri,Evening,Low
Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Lower Manhattan,3,3,4,19.00,19.00,202305,May,Fri,Evening,Low
Coffee beans,Espresso Beans,Espresso Roast,Lower Manhattan,1,1,1,14.75,14.75,202305,May,Fri,Afternoon,Low
Flavours,Sugar free syrup,Sugar Free Vanilla syrup,Lower Manhattan,4,4,6,4.80,4.80,202305,May,Fri,Afternoon,Low
Coffee beans,Organic Beans,Organic Decaf Blend,Lower Manhattan,1,1,1,22.50,22.50,202305,May,Fri,Afternoon,Low
Bakery,Scone,Cranberry Scone,Lower Manhattan,3,3,3,9.75,9.75,202305,May,Fri,Afternoon,Low
Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Lower Manhattan,4,4,7,14.00,14.00,202305,May,Fri,Evening,Low
Tea,Brewed Green tea,Serenity Green Tea Lg,Lower Manhattan,6,6,9,27.00,27.00,202305,May,Mon,Afternoon,Low
Coffee,Barista Espresso,Espresso shot,Lower Manhattan,4,4,4,12.00,12.00,202305,May,Mon,Afternoon,Low
Coffee,Barista Espresso,Cappuccino Lg,Lower Manhattan,7,7,12,51.00,51.00,202305,May,Mon,Afternoon,High
Coffee,Organic brewed coffee,Brazilian Sm,Lower Manhattan,16,16,26,57.20,57.20,202305,May,Mon,Afternoon,High
Coffee,Barista Espresso,Latte,Lower Manhattan,6,6,9,33.75,33.75,202305,May,Mon,Afternoon,High
Bakery,Biscotti,Hazelnut Biscotti,Lower Manhattan,6,6,6,19.50,19.50,202305,May,Mon,Afternoon,Low
Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Lower Manhattan,4,4,5,12.50,12.50,202305,May,Thu,Afternoon,Low
Tea,Brewed Green tea,Serenity Green Tea Lg,Lower Manhattan,3,3,3,9.00,9.00,202305,May,Wed,Evening,Low
Loose Tea,Chai tea,Traditional Blend Chai,Lower Manhattan,1,1,1,8.95,8.95,202305,May,Wed,Evening,Low
Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Lower Manhattan,4,4,7,21.70,21.70,202305,May,Sun,Afternoon,Low
Coffee,Organic brewed coffee,Brazilian Lg,Lower Manhattan,1,1,1,3.50,3.50,202305,May,Wed,Afternoon,Low
Coffee,Drip coffee,Our Old Time Diner Blend Lg,Lower Manhattan,7,7,10,30.00,30.00,202305,May,Wed,Afternoon,Low
Flavours,Sugar free syrup,Sugar Free Vanilla syrup,Lower Manhattan,8,8,14,11.20,11.20,202305,May,Wed,Afternoon,Low
Flavours,Regular syrup,Chocolate syrup,Lower Manhattan,6,6,9,7.20,7.20,202305,May,Wed,Afternoon,Low
Coffee beans,Organic Beans,Brazilian - Organic,Lower Manhattan,1,1,1,18.00,18.00,202305,May,Wed,Afternoon,Low
Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Lower Manhattan,6,6,7,24.50,24.50,202305,May,Wed,Afternoon,Low
Flavours,Regular syrup,Carmel syrup,Lower Manhattan,5,5,7,5.60,5.60,202305,May,Wed,Afternoon,Low
Branded,Housewares,I Need My Bean! Diner mug,Lower Manhattan,3,3,3,36.00,36.00,202305,May,Wed,Morning,High
Branded,Clothing,I Need My Bean! T-shirt,Lower Manhattan,4,4,4,112.00,112.00,202305,May,Wed,Morning,High
Loose Tea,Green tea,Serenity Green Tea,Lower Manhattan,2,2,2,18.50,18.50,202305,May,Wed,Morning,Low
Bakery,Scone,Oatmeal Scone,Lower Manhattan,14,14,14,42.00,42.00,202305,May,Wed,Morning,High
Coffee,Drip coffee,Our Old Time Diner Blend Sm,Lower Manhattan,7,7,11,22.00,22.00,202305,May,Wed,Evening,Low
Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Lower Manhattan,4,4,6,22.50,22.50,202305,May,Wed,Evening,Low
Bakery,Biscotti,Ginger Biscotti,Lower Manhattan,1,1,1,3.50,3.50,202305,May,Thu,Afternoon,Low
Tea,Brewed Green tea,Serenity Green Tea Lg,Lower Manhattan,4,4,6,18.00,18.00,202305,May,Thu,Afternoon,Low
Bakery,Scone,Oatmeal Scone,Lower Manhattan,4,4,4,12.00,12.00,202305,May,Thu,Afternoon,Low
Bakery,Biscotti,Hazelnut Biscotti,Lower Manhattan,4,4,4,13.00,13.00,202305,May,Thu,Afternoon,Low
Flavours,Sugar free syrup,Sugar Free Vanilla syrup,Lower Manhattan,6,6,12,9.60,9.60,202305,May,Thu,Afternoon,Low
Coffee beans,House blend Beans,Our Old Time Diner Blend,Lower Manhattan,2,2,2,36.00,36.00,202305,May,Thu,Morning,High
Loose Tea,Chai tea,Morning Sunrise Chai,Lower Manhattan,2,2,2,19.00,19.00,202305,May,Thu,Morning,Low
Coffee beans,Gourmet Beans,Ethiopia,Lower Manhattan,1,1,1,21.00,21.00,202305,May,Thu,Morning,Low
Coffee,Gourmet brewed coffee,Ethiopia Lg,Lower Manhattan,3,3,4,14.00,14.00,202305,May,Thu,Morning,Low
Bakery,Biscotti,Hazelnut Biscotti,Lower Manhattan,3,3,3,9.75,9.75,202305,May,Wed,Evening,Low
Coffee beans,Espresso Beans,Primo Espresso Roast,Lower Manhattan,3,3,3,61.35,61.35,202305,May,Thu,Morning,High
Flavours,Sugar free syrup,Sugar Free Vanilla syrup,Lower Manhattan,20,20,30,24.00,24.00,202305,May,Thu,Morning,Low
Bakery,Scone,Oatmeal Scone,Lower Manhattan,9,9,9,27.00,27.00,202305,May,Thu,Morning,Low
Flavours,Regular syrup,Hazelnut syrup,Lower Manhattan,9,9,11,8.80,8.80,202305,May,Thu,Morning,Low
Loose Tea,Herbal tea,Lemon Grass,Lower Manhattan,1,1,1,8.95,8.95,202305,May,Thu,Morning,Low
Branded,Housewares,I Need My Bean! Diner mug,Lower Manhattan,1,1,1,12.00,12.00,202305,May,Thu,Evening,Low
Coffee beans,Premium Beans,Jamacian Coffee River,Lower Manhattan,1,1,1,19.75,19.75,202305,May,Thu,Evening,Low
Packaged Chocolate,Organic Chocolate,Sustainably Grown Organic,Lower Manhattan,1,1,1,7.60,7.60,202305,May,Thu,Evening,Low
Coffee,Barista Espresso,Ouro Brasileiro shot,Lower Manhattan,2,2,3,9.00,9.00,202305,May,Thu,Evening,Low
Bakery,Scone,Cranberry Scone,Lower Manhattan,2,2,2,6.50,6.50,202305,May,Thu,Evening,Low
Tea,Brewed Black tea,English Breakfast Rg,Lower Manhattan,1,1,2,5.00,5.00,202305,May,Thu,Evening,Low
Flavours,Regular syrup,Chocolate syrup,Lower Manhattan,4,4,8,6.40,6.40,202305,May,Thu,Evening,Low
Coffee,Gourmet brewed coffee,Ethiopia Lg,Lower Manhattan,2,2,4,14.00,14.00,202305,May,Thu,Evening,Low
Flavours,Regular syrup,Carmel syrup,Lower Manhattan,5,5,7,5.60,5.60,202305,May,Thu,Evening,Low
Packaged Chocolate,Organic Chocolate,Sustainably Grown Organic,Lower Manhattan,1,1,1,7.60,7.60,202305,May,Thu,Morning,Low
Flavours,Regular syrup,Carmel syrup,Lower Manhattan,3,3,3,2.40,2.40,202305,May,Thu,Afternoon,Low
Coffee beans,Gourmet Beans,Columbian Medium Roast,Lower Manhattan,1,1,1,15.00,15.00,202305,May,Thu,Afternoon,Low
Coffee beans,Espresso Beans,Primo Espresso Roast,Lower Manhattan,1,1,1,20.45,20.45,202305,May,Thu,Afternoon,Low
Coffee beans,Gourmet Beans,Ethiopia,Lower Manhattan,2,2,2,42.00,42.00,202305,May,Thu,Afternoon,High
Loose Tea,Green tea,Serenity Green Tea,Lower Manhattan,2,2,2,18.50,18.50,202305,May,Thu,Morning,Low
Loose Tea,Black tea,Earl Grey,Lower Manhattan,1,1,1,8.95,8.95,202305,May,Thu,Morning,Low
Branded,Housewares,I Need My Bean! Diner mug,Lower Manhattan,2,2,2,24.00,24.00,202305,May,Thu,Morning,Low
Bakery,Biscotti,Ginger Biscotti,Lower Manhattan,5,5,5,17.50,17.50,202305,May,Thu,Morning,Low
Branded,Housewares,I Need My Bean! Latte cup,Lower Manhattan,2,2,2,28.00,28.00,202305,May,Thu,Morning,Low
Packaged Chocolate,Drinking Chocolate,Dark chocolate,Lower Manhattan,2,2,2,12.80,12.80,202305,May,Thu,Morning,Low
Coffee beans,Gourmet Beans,Columbian Medium Roast,Lower Manhattan,3,3,3,45.00,45.00,202305,May,Thu,Morning,High
Packaged Chocolate,Organic Chocolate,Sustainably Grown Organic,Lower Manhattan,1,1,1,7.60,7.60,202305,May,Thu,Afternoon,Low
Tea,Brewed Chai tea,Traditional Blend Chai Lg,Lower Manhattan,4,4,7,21.00,21.00,202305,May,Wed,Evening,Low
Tea,Brewed herbal tea,Peppermint Rg,Lower Manhattan,2,2,3,7.50,7.50,202305,May,Wed,Evening,Low
Coffee,Premium brewed coffee,Jamaican Coffee River Sm,Lower Manhattan,1,1,1,2.45,2.45,202305,May,Wed,Evening,Low
Tea,Brewed Black tea,English Breakfast Lg,Lower Manhattan,4,4,7,21.00,21.00,202305,May,Wed,Evening,Low
Coffee,Organic brewed coffee,Brazilian Rg,Lower Manhattan,4,4,5,15.00,15.00,202305,May,Wed,Evening,Low
Flavours,Regular syrup,Chocolate syrup,Lower Manhattan,4,4,6,4.80,4.80,202305,May,Wed,Evening,Low
Coffee,Barista Espresso,Cappuccino,Lower Manhattan,4,4,5,18.75,18.75,202305,May,Wed,Evening,Low
Coffee beans,Espresso Beans,Primo Espresso Roast,Lower Manhattan,1,1,1,20.45,20.45,202305,May,Tue,Evening,Low
Coffee beans,Premium Beans,Civet Cat,Lower Manhattan,1,1,1,45.00,45.00,202305,May,Wed,Morning,High
Bakery,Biscotti,Chocolate Chip Biscotti,Lower Manhattan,11,11,11,38.50,38.50,202305,May,Wed,Morning,High
Tea,Brewed herbal tea,Peppermint Rg,Lower Manhattan,21,21,34,85.00,85.00,202305,May,Wed,Morning,High
Flavours,Regular syrup,Carmel syrup,Lower Manhattan,12,12,16,12.80,12.80,202305,May,Wed,Morning,Low
Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Lower Manhattan,6,6,8,30.00,30.00,202305,May,Tue,Evening,Low
Coffee,Gourmet brewed coffee,Ethiopia Rg,Lower Manhattan,4,4,6,18.00,18.00,202305,May,Sat,Evening,Low
Flavours,Regular syrup,Hazelnut syrup,Lower Manhattan,21,21,34,27.20,27.20,202305,May,Wed,Morning,Low
Coffee beans,Organic Beans,Brazilian - Organic,Lower Manhattan,3,3,3,54.00,54.00,202305,May,Wed,Morning,High
Flavours,Regular syrup,Chocolate syrup,Lower Manhattan,22,22,34,27.20,27.20,202305,May,Wed,Morning,Low
Flavours,Sugar free syrup,Sugar Free Vanilla syrup,Lower Manhattan,20,20,31,24.80,24.80,202305,May,Wed,Morning,Low
Branded,Housewares,I Need My Bean! Latte cup,Lower Manhattan,1,1,1,14.00,14.00,202305,May,Tue,Evening,Low
Coffee,Barista Espresso,Cappuccino Lg,Lower Manhattan,1,1,2,8.50,8.50,202305,May,Tue,Night,Low
Coffee,Barista Espresso,Latte,Lower Manhattan,1,1,1,3.75,3.75,202305,May,Tue,Night,Low
Coffee,Drip coffee,Our Old Time Diner Blend Sm,Lower Manhattan,1,1,1,2.00,2.00,202305,May,Tue,Night,Low
Coffee,Organic brewed coffee,Brazilian Sm,Lower Manhattan,1,1,1,2.20,2.20,202305,May,Tue,Night,Low
Branded,Clothing,I Need My Bean! T-shirt,Lower Manhattan,1,1,1,28.00,28.00,202305,May,Tue,Afternoon,Low
Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Lower Manhattan,2,2,3,14.25,14.25,202305,May,Tue,Evening,Low
Tea,Brewed herbal tea,Lemon Grass Rg,Lower Manhattan,3,3,4,10.00,10.00,202305,May,Tue,Evening,Low
Loose Tea,Chai tea,Morning Sunrise Chai,Lower Manhattan,1,1,1,9.50,9.50,202305,May,Tue,Evening,Low
Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Lower Manhattan,2,2,2,6.20,6.20,202305,May,Tue,Evening,Low
Coffee,Gourmet brewed coffee,Ethiopia Lg,Lower Manhattan,3,3,5,17.50,17.50,202305,May,Tue,Evening,Low
Branded,Housewares,I Need My Bean! Diner mug,Lower Manhattan,3,3,3,36.00,36.00,202305,May,Tue,Evening,High
Tea,Brewed Chai tea,Traditional Blend Chai Lg,Lower Manhattan,14,14,21,63.00,63.00,202305,May,Wed,Morning,High
Coffee,Drip coffee,Our Old Time Diner Blend Rg,Lower Manhattan,3,3,7,17.50,17.50,202305,May,Sat,Evening,Low
Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Lower Manhattan,3,3,6,15.00,15.00,202305,May,Sat,Evening,Low
Loose Tea,Chai tea,Traditional Blend Chai,Lower Manhattan,1,1,1,8.95,8.95,202305,May,Sat,Evening,Low
Branded,Housewares,I Need My Bean! Latte cup,Lower Manhattan,1,1,1,14.00,14.00,202305,May,Sat,Evening,Low
Flavours,Sugar free syrup,Sugar Free Vanilla syrup,Lower Manhattan,6,6,8,6.40,6.40,202305,May,Sat,Evening,Low
Flavours,Regular syrup,Chocolate syrup,Lower Manhattan,4,4,6,4.80,4.80,202305,May,Sat,Evening,Low
